,RIO LIMARI EN PANAMERICANA,RIO QUILIMARI EN LOS CONDORES
1952.0,15.315424097030293,0.2873985438131503
1953.0,21.138574252971715,0.5495464056270991
1954.0,10.508667701482441,0.36136943488488876
1955.0,3.9806986372382447,0.2645074292784637
1956.0,2.607531579495771,0.5159124527156717
1957.0,34.360418551632456,0.3313463562994794
1958.0,9.381038031382436,0.6062251435138363
1959.0,2.8385096451256113,0.3354477984858526
1960.0,5.901261490157851,0.3743721061018233
1961.0,12.195280486746283,0.3935080466033715
1962.0,2.984736320369057,0.3809804253641155
1963.0,24.81162722346291,0.5399452892818378
1964.0,6.841260352007267,0.41204961613319074
1965.0,60.99301309847846,0.7107060132336925
1966.0,17.77215958691725,0.39827391704566245
1967.0,2.295099278816982,0.3388195970959327
1968.0,1.0032728887334195,0.4199338979887554
1969.0,0.5946366128400457,0.25406523985459184
1970.0,9.032420343757716,0.3618361978221136
1971.0,18.4483874605011,0.34223341877240937
1972.0,7.972999998669752,0.5746153846873867
1973.0,6.498981446615251,0.45545111245247694
1974.0,1.6563317082631501,0.2487413722478238
1975.0,0.9410426744892028,0.2813258373501421
1976.0,0.4197816660138069,0.02216312782199879
1977.0,15.376421805345851,0.37612859703021
1978.0,14.938590948998241,0.3806128835409041
1979.0,5.730370224211646,0.2633655470028426
1980.0,10.745339697492184,0.36517703865053636
1981.0,3.688849317328446,0.36026228628162826
1982.0,17.02738748662169,0.5539092464649962
1983.0,28.53611374783919,0.5610612024063347
1984.0,70.81332578389838,0.3540306620168428
1985.0,10.670165841783486,0.319110176730053
1986.0,4.002475679507926,0.573780964596104
1987.0,76.39366231174269,0.5223425748839373
1988.0,25.66059229824479,0.3689607733200542
1989.0,14.646779619626898,0.4139553017341444
1990.0,7.490722727007172,0.36659745138082317
1991.0,6.635976427979453,0.6543397195661417
1992.0,23.919909681397826,0.45691648041798943
1993.0,16.83916911462271,0.36875759799437335
1994.0,3.7601657788506806,0.14678675020934634
1995.0,4.1709958006025,0.3696059882853757
1996.0,0.662666377316946,0.25398771672883785
1997.0,74.37405531536739,0.7262351460276982
1998.0,17.41315258017862,0.3375654388833504
1999.0,6.788116570486445,0.25006888429485463
2000.0,15.745077876462195,0.32815280722373763
2001.0,8.110789843832732,0.3910077792128999
2002.0,27.823177840311235,0.9775752272168315
2003.0,8.409246417827848,0.3967652736718656
2004.0,3.6887797223731718,0.3900279126905471
2005.0,2.18511077862127,0.33363569183828684
2006.0,3.6717987923840845,0.4093410261080372
2007.0,2.0328906178884654,0.5386393654264879
2008.0,2.019111232917259,0.4274290399652156
2009.0,5.635686478957555,0.47931749585077915
2010.0,2.973413827614641,0.3584831509954185
2011.0,22.18638104610967,0.28732927272241204
2012.0,1.5458416240713901,0.6267795453710162
2013.0,1.0114425377077727,0.27098801839338565
2014.0,22.19172845963034,0.4242968360842163
2015.0,15.116628413912922,0.30846894173598427
2016.0,29.336099116978943,0.36109233085294706
2017.0,25.3688316727934,0.5886372877008884
2018.0,15.64605335726985,0.40398209609102614
2019.0,9.41130047159301,0.17514106873046334
2020.0,2.4822340450466855,0.5637312454828879
2021.0,11.095220805510253,0.5893992182687837
