,RIO PETORCA EN LONGOTOMA O PUENTE FF,RIO ALICAHUE EN COLLIGUAY
1950.0,3.003993920305446,1.286744766687202
1951.0,2.709046454683897,1.3985331169556892
1952.0,1.912863519004661,1.331264070723384
1953.0,3.4244055703686738,1.7239387799670094
1954.0,2.462511051160067,0.9667142677174505
1955.0,2.9897250987111517,1.4620257696822538
1956.0,4.384556230015824,1.1867831026380817
1957.0,3.6574131544171755,1.6423470318319238
1958.0,4.173243875428771,1.9106210464425086
1959.0,2.2354292819205854,1.4081443363120572
1960.0,4.32289489763725,1.225021870279045
1961.0,3.2889470874742472,1.5490319638239525
1962.0,3.87137232559493,1.12501945791054
1963.0,3.252359403170429,1.412845294941458
1964.0,2.8882104933637094,0.8338008540481662
1965.0,3.3519641525714405,2.10005810881381
1966.0,2.294443040236584,1.0583145649083283
1967.0,3.8723892365864643,0.48313385774017253
1968.0,2.827608670334595,0.1948639794793021
1969.0,3.9909936175707315,0.17288791218637997
1970.0,2.7494560098467447,0.4352208205325141
1971.0,2.817104071160092,0.28149583178840687
1972.0,2.062933116608033,1.9519506777448872
1973.0,3.6457495746176356,1.2201104486635483
1974.0,1.0277388813743478,0.7274229860780056
1975.0,2.099036283849832,0.5167316984578201
1976.0,2.2655907687609402,0.32808210662369824
1977.0,3.346538114471631,1.3555655920852623
1978.0,3.25220010867378,1.500337818931851
1979.0,0.35703738990044,0.9289273687852524
1980.0,1.704356843083984,1.4998930119739746
1981.0,0.636856362155399,0.5248487954301605
1982.0,3.8541118419082068,2.1061196066916037
1983.0,2.6794201025708357,1.9204046113095954
1984.0,4.37588127531648,2.5246249569384767
1985.0,0.5254158646675127,0.9311342098189027
1986.0,0.5763220389138849,1.451985631598195
1987.0,4.130732204689281,3.203584064937172
1988.0,1.8900630695035632,0.7380658858166922
1989.0,0.6181855860384393,0.8194133919437986
1990.0,0.8281235257980919,0.3961781188885392
1991.0,1.668598534314343,1.3133498874079896
1992.0,2.7973147591756793,1.7907030700962832
1993.0,0.7941933646810129,1.0944194093525434
1994.0,0.7663107274498085,0.44920761801917714
1995.0,0.053635993696700045,0.328017484937957
1996.0,0.12855852467172216,0.21121063534732887
1997.0,6.235148800771838,3.499180079799103
1998.0,1.0931880628584432,0.6910412406069938
1999.0,1.0465778975930164,0.8405177332695684
