,05421002-7,05411001-4,05410002-7,05426003-2,05423003-6,05410024-8,05402001-5,05401003-6
2023-01-01,0.081,0.055,13.931,0.769,5.993,9.097,0.837,8.359
2023-01-02,0.081,0.028,13.486,0.707,0.226,0.457,0.891,8.359
2023-01-03,0.081,0.001,13.486,0.646,0.226,0.719,0.837,8.359
2023-01-04,0.081,0.042,14.899,0.585,0.275,0.837,0.891,9.408
2023-01-05,0.081,0.028,16.35,0.585,0.226,0.837,0.891,9.756
2023-01-06,0.081,0.042,14.899,0.555,0.275,0.33,0.891,8.708
2023-01-07,0.081,0.042,14.415,0.555,0.275,0.552,0.837,8.359
2023-01-08,0.081,0.097,16.873,0.555,0.275,5.903,0.837,7.659
2023-01-09,0.081,0.001,18.442,0.525,4.837,3.339,1.068,9.756
2023-01-10,0.081,0.737,20.65,0.494,5.126,4.986,2.314,9.058
2023-01-11,0.081,0.18,16.873,2.397,1.283,3.598,2.075,8.708
2023-01-12,0.081,0.125,15.866,1.861,0.129,1.523,2.075,8.359
2023-01-13,0.081,0.069,14.415,0.891,0.226,0.409,2.002,8.009
2023-01-14,0.081,0.055,15.382,0.585,0.226,0.361,1.009,8.708
2023-01-15,0.081,0.042,15.382,0.555,16.085,13.67,1.009,9.058
2023-01-16,0.081,0.042,13.931,4.218,0.226,0.504,0.837,8.708
2023-01-17,0.081,0.028,14.415,1.061,0.226,0.205,0.891,9.058
2023-01-18,0.081,0.028,13.486,0.769,0.226,0.16,0.891,8.708
2023-01-19,0.081,0.028,14.415,0.585,0.226,0.236,0.891,9.058
2023-01-20,0.081,0.028,13.486,0.555,0.226,0.457,1.068,9.058
2023-01-21,0.081,0.028,14.899,0.434,0.226,0.299,0.891,9.058
2023-01-22,0.081,0.028,14.899,0.464,0.275,14.147,0.891,9.058
2023-01-23,0.081,0.028,15.382,0.464,2.466,0.33,0.95,8.708
2023-01-24,0.081,0.028,14.899,0.494,0.226,0.19,0.837,10.453
2023-01-25,0.081,0.028,14.899,0.41,0.226,0.205,0.891,8.708
2023-01-26,0.081,0.028,13.931,0.386,0.226,0.457,0.837,8.359
2023-01-27,0.081,0.028,13.486,0.362,0.226,0.267,1.646,5.7
2023-01-28,0.081,0.028,13.931,0.362,0.226,0.361,0.891,6.658
2023-01-29,0.081,0.028,14.415,0.338,0.324,12.717,0.891,7.325
2023-01-30,0.081,0.028,13.486,0.362,0.226,0.409,0.837,7.659
2023-01-31,0.081,0.028,15.866,0.386,0.226,0.19,0.891,8.359
2023-02-01,0.081,0.028,14.899,0.362,0.226,2.656,0.891,8.009
2023-02-02,0.081,0.028,14.415,0.362,0.226,3.08,0.837,7.659
2023-02-03,0.081,0.028,13.931,0.338,0.226,3.08,0.837,0.0
2023-02-04,0.081,0.015,13.931,0.362,0.226,4.115,1.785,4.849
2023-02-05,0.081,0.028,14.415,0.362,11.491,13.194,0.837,5.383
2023-02-06,0.081,0.028,13.486,0.83,0.178,2.868,0.837,4.849
