,05421002-7,05411001-4,05410002-7,05426003-2,05423003-6,05410024-8,05402001-5,05401003-6
2023-01-01,0.081,0.125,17.919,1.232,14.296,17.231,1.068,10.801
2023-01-02,0.081,0.069,16.35,0.976,11.87,13.194,1.009,10.453
2023-01-03,0.081,0.069,15.866,0.891,0.275,2.656,1.009,11.149
2023-01-04,0.081,0.069,17.396,0.769,0.275,2.868,1.314,12.881
2023-01-05,0.081,0.055,19.527,0.769,0.275,4.986,1.25,12.188
2023-01-06,0.081,0.055,18.442,0.707,0.275,4.986,1.507,10.801
2023-01-07,0.081,6.843,22.965,0.707,0.275,18.363,3.142,11.842
2023-01-08,0.081,1.412,45.408,0.646,12.248,35.428,4.648,13.915
2023-01-09,0.081,12.347,57.244,0.585,39.768,41.137,12.818,12.188
2023-01-10,0.081,3.119,51.184,4.218,69.664,65.643,12.373,11.495
2023-01-11,0.081,0.878,24.751,8.746,10.735,10.904,4.479,11.495
2023-01-12,0.081,0.208,20.089,3.496,1.283,4.68,4.479,11.149
2023-01-13,0.081,0.125,17.919,1.861,0.275,2.443,2.585,11.842
2023-01-14,0.081,0.097,18.442,0.891,16.085,16.71,3.83,12.535
2023-01-15,0.081,0.069,19.527,4.037,23.879,20.673,1.314,12.535
2023-01-16,0.081,0.055,19.527,5.242,21.231,19.496,1.379,13.571
2023-01-17,0.081,0.055,19.527,5.242,0.275,4.374,2.676,12.535
2023-01-18,0.081,0.042,18.965,1.061,0.275,2.656,5.207,13.915
2023-01-19,0.081,0.042,23.56,0.769,0.324,6.267,6.895,14.605
2023-01-20,0.081,0.042,25.429,0.646,0.897,10.458,5.401,14.26
2023-01-21,0.081,0.042,22.369,0.555,0.275,16.71,4.311,14.26
2023-01-22,0.081,0.042,22.965,0.494,11.87,27.797,6.453,14.26
2023-01-23,0.081,0.042,24.156,0.769,12.248,30.644,2.002,11.842
2023-01-24,0.081,0.028,18.965,0.83,0.275,7.358,3.83,14.948
2023-01-25,0.081,0.028,21.774,0.525,0.275,4.115,2.676,12.881
2023-01-26,0.081,0.028,20.089,0.464,0.275,3.598,1.314,12.881
2023-01-27,0.081,0.028,18.965,0.41,0.275,3.598,4.817,12.881
2023-01-28,0.081,0.028,21.774,0.41,0.324,17.231,6.233,14.26
2023-01-29,0.081,0.028,22.965,0.434,10.396,29.198,4.142,14.26
2023-01-30,0.081,0.028,21.774,0.386,9.042,27.797,7.389,16.661
2023-01-31,0.081,0.028,27.463,0.434,0.275,9.555,8.403,18.367
2023-02-01,0.081,0.028,27.463,0.464,1.412,10.458,8.403,18.367
2023-02-02,0.081,0.028,24.751,0.41,4.548,12.717,6.895,17.344
2023-02-03,0.081,0.028,24.156,0.41,3.551,13.67,6.674,0.0
2023-02-04,0.081,0.028,25.429,0.41,10.396,18.363,6.453,14.1
2023-02-05,0.081,0.028,25.429,1.752,21.231,29.198,6.895,14.467
2023-02-06,0.081,0.028,26.785,1.995,23.879,33.626,3.973,11.35
2023-02-07,0.081,0.028,21.212,1.861,0.413,7.722,8.13,13.05
2023-02-08,0.081,0.028,23.56,0.555,1.919,9.097,5.207,11.683
2023-02-09,0.081,0.028,21.774,0.525,1.154,8.638,5.596,13.05
2023-02-10,0.081,0.028,22.369,0.555,3.302,13.67,5.791,13.75
2023-02-11,0.081,0.028,23.56,0.464,10.058,16.188,5.207,13.75
2023-02-12,0.081,0.028,24.751,0.555,20.348,32.881,2.676,12.017
2023-02-13,0.081,0.028,21.212,1.147,17.985,26.396,6.012,11.683
2023-02-14,0.081,0.028,19.527,1.232,0.59,8.18,1.715,12.35
2023-02-15,0.081,0.028,20.65,0.525,0.768,7.358,3.402,13.05
2023-02-16,0.081,0.028,19.527,0.525,0.178,6.994,2.075,10.366
2023-02-17,0.081,0.028,15.382,0.464,0.178,5.597,1.715,9.1
2023-02-18,0.081,0.028,14.899,0.41,8.443,11.795,0.95,9.1
2023-02-19,0.081,0.028,14.899,0.41,12.626,16.71,1.25,8.8
2023-02-20,0.081,0.028,14.899,0.464,12.248,16.71,1.127,8.5
2023-02-21,0.081,0.028,13.931,0.41,0.178,6.994,1.186,8.8
2023-02-22,0.081,0.028,13.486,0.386,0.178,6.267,0.729,8.5
2023-02-23,0.081,0.028,13.041,0.386,0.178,4.374,2.314,9.1
2023-02-24,0.081,0.028,15.382,0.386,0.178,4.986,2.075,9.1
2023-02-25,0.081,0.028,14.899,0.362,9.042,11.349,1.443,9.417
2023-02-26,0.081,0.028,15.866,0.386,13.461,16.71,1.443,9.417
2023-02-27,0.081,0.028,15.866,0.386,12.626,16.71,1.576,10.366
2023-02-28,0.081,0.028,18.442,0.362,0.502,7.722,1.576,10.366
2023-03-01,0.081,0.028,17.919,0.362,0.324,8.18,1.646,11.683
2023-03-02,0.081,0.028,16.873,0.362,0.178,6.267,1.646,13.75
2023-03-03,0.081,0.028,17.919,0.362,0.178,6.994,2.223,15.2
2023-03-04,0.081,0.028,17.919,0.338,7.545,13.194,2.223,14.833
2023-03-05,0.081,0.028,17.396,0.338,14.714,19.496,3.545,14.467
2023-03-06,0.081,0.028,17.396,0.338,15.171,19.496,1.379,11.35
2023-03-07,0.081,0.028,14.899,0.338,0.178,4.374,1.646,11.016
2023-03-08,0.081,0.028,19.527,0.362,0.413,9.097,1.646,11.35
2023-03-09,0.081,0.028,14.415,0.362,0.178,6.267,1.646,12.7
2023-03-10,0.081,0.028,15.382,0.362,0.178,2.868,1.576,12.7
2023-03-11,0.081,0.028,15.866,0.362,8.144,16.188,0.891,13.75
2023-03-12,0.081,0.028,15.866,0.362,14.296,20.062,0.891,12.7
2023-03-13,0.081,0.028,14.899,0.362,13.879,17.797,0.729,12.017
2023-03-14,0.081,0.028,15.382,0.338,0.178,5.903,7.389,11.016
2023-03-15,0.081,0.028,14.415,0.362,0.178,6.631,5.791,11.35
2023-03-16,0.081,0.028,15.382,0.338,0.502,7.358,0.837,12.7
2023-03-17,0.081,0.028,15.866,0.338,0.178,6.631,0.837,13.05
2023-03-18,0.081,0.028,14.415,0.338,8.743,12.24,1.443,12.35
2023-03-19,0.081,0.028,14.899,0.338,14.714,18.363,0.837,13.05
2023-03-20,0.081,0.028,15.866,0.338,14.714,20.062,0.783,12.7
2023-03-21,0.081,0.028,15.382,0.338,0.0,7.358,0.783,12.35
2023-03-22,0.081,0.028,13.931,0.338,3.325,4.115,1.009,12.017
2023-03-23,0.081,0.028,13.931,0.338,2.371,4.374,1.379,12.017
2023-03-24,0.081,0.028,13.931,0.338,1.003,4.115,1.379,10.05
2023-03-25,0.081,0.028,13.041,0.314,9.611,11.349,1.314,11.016
2023-03-26,0.081,0.028,13.041,0.314,15.765,16.71,0.783,11.35
2023-03-27,0.081,0.028,13.931,0.294,14.595,18.93,0.783,11.35
2023-03-28,0.081,0.028,13.041,0.362,0.903,5.291,0.783,10.05
