,05421002-7,05411001-4,05410002-7,05426003-2,05423003-6,05410024-8,05402001-5,05401003-6
2023-03-29,0.081,0.028,11.301,0.362,0.238,4.374,1.186,8.8
2023-03-30,0.081,0.028,10.489,0.338,1.003,4.115,1.715,9.1
2023-03-31,0.081,0.028,11.301,0.338,1.228,5.597,1.127,10.05
2023-04-01,0.081,0.028,11.301,0.362,5.04,12.24,1.443,9.1
2023-04-02,0.081,0.028,11.301,0.362,14.047,15.145,2.495,6.75
2023-04-03,0.081,0.028,10.083,0.386,12.952,14.147,1.127,5.916
2023-04-04,0.081,0.028,9.677,0.464,0.238,1.193,1.186,7.6
2023-04-05,0.081,0.028,10.083,0.386,0.238,3.339,0.621,6.75
2023-04-06,0.081,0.028,8.943,0.386,1.228,2.443,0.837,7.033
2023-04-07,0.081,0.028,9.31,0.386,0.903,3.08,0.675,7.6
2023-04-08,0.081,0.028,9.677,0.386,7.268,10.904,0.621,7.9
2023-04-09,0.081,0.028,11.301,0.386,13.5,15.667,0.621,7.9
2023-04-10,0.081,0.028,10.083,0.386,13.5,14.147,0.783,7.6
2023-04-11,0.081,0.028,9.31,0.386,1.734,5.291,0.675,6.75
2023-04-12,0.081,0.028,8.577,0.362,0.704,2.443,0.572,4.849
2023-04-13,0.081,0.028,7.843,0.362,1.228,2.656,0.621,4.349
2023-04-14,0.081,0.028,8.943,0.386,1.481,2.443,0.572,3.849
2023-04-15,0.081,0.028,8.21,0.362,5.04,8.638,0.572,4.099
2023-04-16,0.081,0.028,10.083,0.386,10.499,10.013,0.572,4.099
2023-04-17,0.081,0.028,8.577,0.41,11.452,11.795,0.572,3.366
2023-04-18,0.081,0.028,7.515,0.464,0.903,1.358,0.572,3.599
2023-04-19,0.081,0.028,9.31,0.434,1.228,1.074,0.572,3.366
2023-04-20,0.081,0.028,8.943,0.434,1.102,2.231,0.572,3.366
2023-04-21,0.081,0.028,8.577,0.434,0.804,1.689,0.783,3.599
2023-04-22,0.081,0.028,8.21,0.41,5.334,7.722,0.729,2.665
2023-04-23,0.081,0.028,7.843,0.41,11.452,9.097,0.572,3.132
2023-04-24,0.081,0.028,9.677,0.434,10.499,7.722,0.523,2.665
2023-04-25,0.081,0.028,7.187,0.41,1.228,0.719,0.572,2.899
2023-04-26,0.081,0.028,8.21,0.41,1.481,1.689,0.523,2.432
2023-04-27,0.081,0.028,7.187,0.41,1.228,1.074,0.572,2.665
2023-04-28,0.081,0.028,9.677,0.41,1.481,2.019,0.729,2.215
2023-04-29,0.081,0.028,7.187,0.434,5.04,6.631,0.377,1.782
2023-04-30,0.081,0.028,7.187,0.585,10.499,7.722,0.675,2.215
2023-05-01,0.081,0.028,7.187,1.147,10.499,7.722,0.891,2.215
2023-05-02,0.081,0.028,9.31,1.232,1.608,2.443,0.377,1.998
2023-05-03,0.081,0.028,6.86,0.707,1.355,0.956,0.377,1.998
2023-05-04,0.081,0.028,7.187,0.769,1.228,2.019,0.426,2.215
2023-05-05,0.081,0.028,7.187,0.707,1.228,2.019,0.377,2.432
2023-05-06,0.081,0.028,6.86,0.707,5.923,6.267,0.333,1.998
2023-05-07,0.081,0.028,7.187,1.061,10.499,8.18,0.333,2.215
2023-05-08,0.081,0.028,6.86,1.061,10.499,7.722,0.333,2.432
2023-05-09,0.081,0.028,7.187,0.83,1.734,2.019,0.333,2.432
2023-05-10,0.081,0.028,7.187,0.707,1.481,1.523,0.333,2.432
2023-05-11,0.081,0.028,7.187,1.317,1.608,0.719,0.333,2.665
2023-05-12,0.081,0.028,7.187,0.976,1.481,1.358,0.333,3.132
2023-05-13,0.081,0.028,8.943,0.707,6.218,7.358,0.333,3.132
2023-05-14,0.081,0.028,7.515,1.147,10.499,8.18,0.333,3.366
2023-05-15,0.081,0.028,10.083,1.317,10.499,7.358,0.333,2.899
2023-05-16,0.081,0.028,7.187,1.317,2.052,1.523,0.333,2.899
2023-05-17,0.081,0.028,7.515,1.061,1.481,2.231,0.333,2.215
2023-05-18,0.081,0.028,6.532,1.061,1.734,1.689,0.333,1.998
2023-05-19,0.081,0.028,6.532,1.061,1.355,2.019,0.333,1.565
2023-05-20,0.081,0.028,6.532,0.976,4.501,5.291,0.333,1.565
2023-05-21,0.081,0.028,6.532,1.535,9.611,5.597,0.333,1.348
2023-05-22,0.081,0.028,6.204,1.643,9.2,5.291,0.377,1.148
2023-05-23,0.081,0.028,6.204,1.535,1.608,0.719,0.333,1.348
2023-05-24,0.081,0.028,6.204,1.147,1.481,1.193,0.333,1.348
2023-05-25,0.081,0.028,6.204,1.061,1.481,0.719,0.377,1.348
2023-05-26,0.081,0.028,6.86,1.061,1.608,0.956,0.377,1.348
2023-05-27,0.081,0.028,6.86,1.147,5.04,4.986,0.333,1.148
2023-05-28,0.081,0.028,6.532,1.535,9.611,5.291,0.333,1.148
2023-05-29,0.081,0.028,6.532,1.426,9.611,4.986,0.333,1.148
2023-05-30,0.081,0.028,6.532,1.535,2.052,1.074,0.377,1.148
2023-05-31,0.081,0.042,7.515,1.317,2.052,1.074,0.377,1.348
2023-06-01,0.081,0.028,6.204,1.426,2.371,1.074,0.377,1.348
2023-06-02,0.081,0.028,6.532,1.535,2.729,0.956,0.377,1.348
2023-06-03,0.081,0.028,6.204,1.643,5.04,4.68,0.377,1.148
2023-06-04,0.081,0.028,6.204,2.263,9.2,4.986,0.377,0.948
2023-06-05,0.081,0.028,6.204,2.263,9.2,4.68,1.379,1.148
2023-06-06,0.081,0.028,6.532,2.263,3.126,1.193,1.068,1.348
2023-06-07,0.081,0.028,6.204,2.129,2.53,1.523,0.95,1.348
2023-06-08,0.081,0.028,6.204,1.861,2.53,1.358,0.95,1.348
2023-06-09,0.081,0.028,6.204,2.129,2.53,1.358,0.95,1.148
2023-06-10,0.081,0.028,6.204,2.263,5.04,5.291,0.95,1.148
2023-06-11,0.081,0.028,6.204,3.001,9.2,4.986,1.009,1.148
2023-06-12,0.081,0.028,6.204,3.158,9.2,4.986,1.127,1.148
2023-06-13,0.081,0.028,5.915,3.158,2.53,1.358,1.127,0.948
2023-06-14,0.081,0.028,5.915,2.397,2.53,1.689,1.009,0.948
2023-06-15,0.081,0.028,6.204,2.531,2.729,1.689,0.95,0.948
2023-06-16,0.081,0.028,5.915,2.531,2.371,1.193,0.891,0.948
2023-06-17,0.081,0.028,5.915,2.397,5.04,4.68,0.377,1.148
2023-06-18,0.081,0.028,5.626,3.158,8.79,4.986,0.377,1.148
2023-06-19,0.081,0.028,6.204,2.845,8.79,4.986,0.837,0.948
2023-06-20,0.081,0.042,6.204,1.752,2.53,1.074,0.377,0.948
2023-06-21,0.081,0.028,6.204,2.263,2.53,1.074,0.426,0.948
2023-06-22,0.081,10.0,123.591,3.158,22.574,86.909,37.628,8.5
2023-06-23,0.081,12.347,0.0,30.055,0.0,54.321,76.956,13.05
2023-06-24,0.081,8.442,250.612,231.882,0.0,201.045,67.497,8.5
2023-06-25,0.081,1.855,37.201,204.323,0.0,40.834,34.589,2.665
2023-06-26,0.081,0.808,20.93,49.627,0.0,2.04,2.149,1.998
2023-06-27,0.081,0.495,15.811,25.619,0.0,10.949,1.576,1.565
2023-06-28,0.081,0.253,14.113,16.908,0.0,0.773,2.223,1.348
2023-06-29,0.081,0.208,12.926,11.012,0.0,5.372,2.002,1.782
2023-06-30,0.081,0.18,13.717,8.746,0.0,7.697,1.928,1.565
2023-07-01,0.081,0.18,13.717,7.475,0.0,1.447,1.785,1.348
2023-07-02,0.081,0.152,13.717,6.156,0.0,0.834,1.715,1.348
2023-07-03,0.081,0.253,12.135,6.156,0.0,0.773,1.715,1.348
2023-07-04,0.081,0.18,12.531,5.699,0.0,0.773,1.646,1.348
2023-07-05,0.081,0.18,13.717,3.315,0.0,0.773,3.259,1.348
2023-07-06,0.081,0.152,11.402,4.218,0.0,0.773,1.443,1.348
2023-07-07,0.081,0.152,10.669,4.218,0.0,0.773,1.443,1.348
2023-07-08,0.081,0.152,11.035,4.218,0.0,0.773,1.379,1.348
2023-07-09,0.081,0.18,11.035,5.037,0.0,0.773,1.314,1.148
2023-07-10,0.081,0.152,10.669,5.037,0.0,5.643,1.314,1.148
2023-07-11,0.081,0.125,10.669,4.423,0.0,3.939,1.314,1.148
2023-07-12,0.081,0.298,11.402,7.202,0.0,4.404,1.646,1.148
2023-07-13,0.081,0.18,11.402,7.202,0.0,3.744,1.507,1.148
2023-07-14,0.081,0.18,11.035,5.471,0.0,3.353,1.314,1.148
2023-07-15,0.081,0.208,10.669,4.423,0.0,5.101,1.314,1.148
2023-07-16,0.081,0.344,10.669,5.471,0.0,5.101,1.25,1.148
2023-07-17,0.081,0.208,10.302,5.242,0.0,4.404,1.25,1.148
2023-07-18,0.081,0.208,10.302,3.857,0.0,4.636,1.25,1.148
2023-07-19,0.081,0.208,10.302,4.037,0.0,3.158,1.25,1.148
2023-07-20,0.081,0.18,9.965,4.832,0.0,2.803,1.186,1.148
2023-07-21,0.081,0.125,10.669,4.832,0.0,2.484,1.25,1.148
2023-07-22,0.081,0.676,11.768,5.699,0.0,4.869,1.25,1.148
2023-07-23,0.081,0.208,10.302,6.657,0.0,4.404,1.186,1.148
2023-07-24,0.081,0.253,10.302,6.657,0.0,3.939,1.186,1.148
2023-07-25,0.081,0.253,11.035,3.676,0.0,2.484,1.25,1.148
2023-07-26,0.081,0.253,10.302,4.628,0.0,2.165,1.186,1.148
2023-07-27,0.081,0.253,10.302,5.471,0.0,2.165,1.25,1.148
2023-07-28,0.081,0.344,11.035,5.242,0.0,2.484,1.314,1.348
2023-07-29,0.081,0.253,14.113,4.423,0.0,4.869,1.576,1.565
2023-07-30,0.081,0.253,13.717,4.423,0.0,4.869,1.443,1.565
2023-07-31,0.081,0.208,14.113,4.218,0.0,4.404,1.785,1.782
2023-08-01,0.081,0.253,14.962,4.423,0.0,5.372,1.785,1.998
2023-08-02,0.081,0.298,15.387,3.001,0.0,6.765,1.785,1.998
2023-08-03,0.081,0.253,15.811,4.628,0.0,8.007,1.854,1.998
2023-08-04,0.081,0.298,15.811,4.423,0.0,7.076,1.854,2.215
2023-08-05,0.081,0.253,15.387,4.037,0.0,11.344,1.785,2.215
2023-08-06,0.081,0.18,14.538,5.037,0.0,12.176,1.785,2.215
2023-08-07,0.081,0.125,13.717,5.699,0.0,10.949,1.715,1.998
2023-08-08,0.081,0.18,12.926,5.699,0.0,4.869,1.576,1.782
2023-08-09,0.081,0.152,12.531,2.845,0.0,2.04,1.507,1.782
2023-08-10,0.081,0.152,12.926,3.158,0.0,2.325,1.785,1.565
2023-08-11,0.081,0.152,12.531,3.158,0.0,2.803,1.443,1.782
2023-08-12,0.081,0.253,12.135,3.158,0.0,6.765,1.507,1.782
2023-08-13,0.081,0.253,12.926,3.857,0.0,8.007,1.715,1.998
2023-08-14,0.081,0.253,13.717,3.857,0.0,8.711,1.785,1.998
2023-08-15,0.081,0.253,13.717,3.857,0.0,2.165,1.785,1.782
2023-08-16,0.081,0.208,12.531,3.158,0.0,2.165,1.646,1.782
2023-08-17,0.081,0.208,11.402,2.688,0.0,2.04,1.576,1.782
2023-08-18,0.081,0.208,11.402,2.845,0.0,4.171,1.715,1.565
2023-08-19,0.081,0.808,18.99,3.857,0.0,8.711,9.222,13.05
2023-08-20,0.081,0.808,38.089,11.012,0.0,20.157,10.422,3.849
2023-08-21,0.081,0.616,22.11,17.64,0.0,9.414,1.785,1.148
2023-08-22,0.081,2.045,26.386,19.105,0.0,13.053,7.389,1.148
2023-08-23,0.081,3.73,68.932,80.448,0.0,63.081,8.13,1.565
2023-08-24,0.081,2.778,59.96,99.886,0.0,60.212,5.791,1.348
2023-08-25,0.081,1.855,36.313,72.1,0.0,9.062,3.545,1.565
2023-08-26,0.081,1.764,30.309,38.79,0.0,6.765,2.585,1.565
2023-08-27,0.081,1.674,28.991,29.144,0.0,7.076,2.314,1.565
2023-08-28,0.081,1.493,28.331,23.916,0.0,13.93,2.149,1.565
2023-08-29,0.081,1.674,25.759,21.481,0.0,2.644,1.854,1.565
2023-08-30,0.081,1.855,25.133,15.443,0.0,1.354,1.928,1.782
2023-08-31,0.081,2.146,27.672,11.546,0.0,3.939,2.223,1.998
2023-09-01,0.081,1.493,27.013,12.079,0.0,1.016,2.075,1.782
2023-09-02,0.081,1.332,25.759,10.479,0.0,1.262,2.149,1.782
2023-09-03,0.081,1.019,22.11,16.175,0.0,1.077,2.002,1.565
2023-09-04,0.081,0.949,22.11,16.908,0.0,0.955,1.928,1.565
2023-09-05,0.081,0.949,19.96,15.443,0.0,0.773,1.785,1.565
2023-09-06,0.081,1.945,28.331,8.413,0.0,1.016,3.545,1.782
2023-09-07,0.081,2.045,28.991,18.373,0.0,1.915,2.793,1.565
2023-09-08,0.081,1.019,23.289,19.105,0.0,0.773,2.676,1.565
2023-09-09,0.081,1.171,22.11,11.012,0.0,0.955,2.075,1.565
2023-09-10,0.081,0.878,21.52,14.097,0.0,1.016,2.002,1.782
2023-09-11,0.081,2.146,27.013,26.471,0.0,1.915,3.026,1.782
2023-09-12,0.081,1.674,24.506,26.471,0.0,,2.149,1.565
2023-09-13,0.081,1.412,22.699,19.897,0.0,,2.075,1.348
2023-09-14,0.081,2.045,25.759,12.079,0.0,,2.149,1.782
2023-09-15,0.081,2.347,32.846,9.412,0.0,,2.676,2.432
2023-09-16,0.081,2.246,34.537,11.012,0.0,,2.676,2.432
2023-09-17,0.081,1.855,34.537,21.481,0.0,,2.495,1.998
2023-09-18,0.081,1.493,28.331,21.481,0.0,,2.314,1.565
2023-09-19,0.081,1.674,23.879,16.908,0.0,,2.149,1.782
2023-09-20,0.081,1.493,25.133,8.746,0.0,13.492,2.223,1.565
2023-09-21,0.081,1.412,26.386,8.08,0.0,19.579,2.585,1.782
2023-09-22,0.081,1.251,23.289,5.242,0.0,9.766,2.495,1.565
2023-09-23,0.081,1.251,22.699,4.218,0.0,4.636,2.404,1.565
2023-09-24,0.081,1.583,27.013,3.857,0.0,3.744,2.676,1.782
2023-09-25,0.081,1.493,29.65,5.037,0.0,18.47,2.793,1.998
2023-09-26,0.081,1.171,29.65,5.928,0.0,19.579,2.676,2.215
2023-09-27,0.081,1.251,28.991,3.676,0.0,20.736,3.026,2.665
2023-09-28,0.081,1.09,30.309,3.315,0.0,23.149,2.909,2.899
2023-09-29,0.081,1.09,31.155,3.315,0.0,19.0,3.026,3.132
2023-09-30,0.081,1.09,39.907,3.496,0.0,22.521,3.687,3.132
2023-10-01,0.081,1.09,40.838,6.385,0.0,29.151,6.233,3.849
2023-10-02,0.081,1.019,39.907,11.546,0.0,37.289,4.648,3.366
2023-10-03,0.081,1.019,38.089,11.012,0.0,21.893,3.142,3.132
2023-10-04,0.081,0.949,28.331,5.928,0.0,13.053,2.793,3.366
2023-10-05,0.081,0.878,28.331,3.315,0.0,10.555,2.793,3.366
2023-10-06,0.081,0.808,28.991,2.263,0.0,10.949,2.676,3.132
2023-10-07,0.081,0.808,26.386,2.263,0.0,8.359,2.793,3.599
2023-10-08,0.081,0.808,28.991,2.845,0.0,11.344,3.026,4.099
2023-10-09,0.081,0.878,33.691,4.423,0.0,15.381,3.259,4.099
2023-10-10,0.081,0.878,38.089,4.423,0.0,20.157,3.83,3.599
2023-10-11,0.081,0.737,28.331,2.688,0.0,9.062,2.909,3.366
2023-10-12,0.081,0.737,27.672,2.397,0.0,9.766,2.909,3.849
2023-10-13,0.081,0.737,28.331,1.861,0.0,9.414,3.142,3.599
2023-10-14,0.081,0.737,28.991,1.752,0.0,9.062,2.909,3.599
2023-10-15,0.081,0.737,28.991,2.397,0.0,10.949,2.909,3.599
2023-10-16,0.081,0.737,30.309,3.496,0.0,11.738,3.259,3.849
2023-10-17,0.081,0.808,36.313,2.845,0.0,14.414,10.422,4.349
2023-10-18,0.081,0.808,44.602,1.752,0.0,23.149,9.804,4.099
2023-10-19,0.081,0.676,35.425,1.643,0.0,15.381,6.233,4.599
2023-10-20,0.081,0.676,41.768,1.232,0.0,21.893,6.012,4.349
2023-10-21,0.081,1.019,32.0,1.061,0.0,13.93,6.012,3.849
2023-10-22,0.081,0.616,28.991,2.531,0.0,10.949,3.259,3.849
2023-10-23,0.081,0.737,32.846,2.531,0.0,11.738,4.142,4.349
2023-10-24,0.081,0.949,38.089,2.263,0.0,16.878,4.817,5.116
2023-10-25,0.081,0.878,43.629,1.535,0.0,23.777,4.479,4.349
2023-10-26,0.081,0.878,38.089,1.147,0.0,20.736,4.311,4.599
2023-10-27,0.081,0.878,41.768,0.976,0.0,20.157,4.479,4.599
2023-10-28,0.081,0.676,38.089,0.891,0.0,23.777,4.142,4.349
2023-10-29,0.081,0.737,34.537,4.037,0.0,18.47,4.648,3.849
2023-10-30,0.081,0.616,30.309,4.218,0.0,16.878,3.402,3.599
2023-10-31,0.081,0.737,27.013,4.037,0.0,7.697,3.026,3.366
2023-11-01,0.081,0.555,27.672,1.861,0.0,5.372,3.026,3.132
2023-11-02,0.081,0.555,26.386,1.426,0.0,6.455,3.142,3.132
2023-11-03,0.081,0.616,36.313,1.232,0.0,13.492,3.687,4.099
2023-11-04,0.081,0.808,36.313,1.061,0.0,16.878,3.687,4.099
2023-11-05,0.081,0.808,36.313,1.752,0.0,24.405,3.83,4.349
2023-11-06,0.081,1.251,47.521,2.845,0.0,23.149,7.389,5.649
2023-11-07,0.081,1.09,62.161,2.129,0.0,32.914,5.401,5.649
2023-11-08,0.081,1.171,63.261,3.001,0.0,34.659,13.262,7.9
2023-11-09,0.081,1.171,66.647,5.928,0.0,40.834,7.142,7.6
2023-11-10,0.081,2.246,133.183,41.881,0.0,31.319,45.771,10.05
2023-11-11,0.081,1.855,91.113,89.194,0.0,76.245,11.929,7.033
2023-11-12,0.081,1.09,49.509,80.448,0.0,42.391,7.142,4.849
2023-11-13,0.081,0.949,44.602,55.493,0.0,40.151,5.596,4.849
2023-11-14,0.081,0.949,47.521,41.881,0.0,22.725,5.012,4.849
2023-11-15,0.081,1.09,43.629,19.897,0.0,19.531,4.648,4.599
2023-11-16,0.081,0.878,40.838,11.012,0.0,17.049,6.012,4.849
2023-11-17,0.081,0.676,38.977,7.747,0.0,20.041,5.012,4.599
2023-11-18,0.081,0.555,32.0,6.385,0.0,15.179,4.817,4.349
2023-11-19,0.081,0.878,41.768,5.242,0.0,13.852,5.012,5.916
2023-11-20,0.081,1.09,56.744,4.218,0.0,24.425,8.676,8.5
2023-11-21,0.081,1.09,67.789,6.385,0.0,36.551,8.676,8.2
2023-11-22,0.081,1.251,76.0,16.175,0.0,40.151,10.422,9.1
2023-11-23,0.081,1.251,79.683,23.916,0.0,48.672,9.495,10.05
2023-11-24,0.081,1.493,111.421,34.789,0.0,68.142,17.591,12.017
2023-11-25,0.081,1.412,127.603,49.627,0.0,68.142,23.138,10.05
2023-11-26,0.081,1.412,150.426,61.656,0.0,88.726,27.931,10.366
2023-11-27,0.081,1.412,151.912,77.627,0.0,87.677,41.691,11.683
2023-11-28,0.081,1.412,156.369,86.203,0.0,91.893,49.869,11.016
2023-11-29,0.081,1.412,138.847,87.698,0.0,84.529,63.321,12.35
2023-11-30,0.081,1.171,128.977,83.325,0.0,75.215,47.82,12.7
2023-12-01,0.081,1.171,128.977,74.864,0.0,72.147,51.929,12.35
2023-12-02,0.081,1.171,108.785,74.864,0.0,62.519,39.654,11.35
2023-12-03,0.081,1.09,95.051,62.924,0.0,54.51,35.602,8.8
2023-12-04,0.081,1.019,101.825,59.119,0.0,54.51,39.654,9.417
2023-12-05,0.081,0.808,106.001,54.284,0.0,58.005,41.691,9.733
2023-12-06,0.081,0.878,95.051,53.075,0.0,53.661,39.654,9.733
2023-12-07,0.081,1.019,103.217,45.15,0.0,50.301,46.796,10.05
2023-12-08,0.081,1.251,115.376,47.329,0.0,58.005,47.82,10.683
2023-12-09,0.081,1.09,118.068,56.701,0.0,69.089,44.747,9.733
2023-12-10,0.081,1.171,123.481,60.387,0.0,76.245,40.673,10.683
2023-12-11,0.081,0.949,126.229,68.117,0.0,79.333,52.959,11.016
2023-12-12,0.081,1.019,123.481,69.444,0.0,75.215,26.946,10.683
2023-12-13,0.081,0.808,122.107,68.117,0.0,78.304,28.917,11.35
2023-12-14,0.081,0.389,120.761,68.117,0.0,86.627,34.589,11.35
2023-12-15,0.081,0.298,116.722,66.789,0.0,86.627,21.437,11.016
2023-12-16,0.081,0.298,115.376,59.119,0.0,86.627,35.602,10.683
2023-12-17,0.081,0.253,106.001,66.789,0.0,90.834,32.32,10.366
2023-12-18,0.081,0.495,97.761,66.789,0.0,85.578,16.876,10.366
2023-12-19,0.081,0.253,101.825,65.461,0.0,81.411,16.161,13.75
2023-12-20,0.081,0.298,96.406,54.284,0.0,73.167,16.161,21.514
2023-12-21,0.081,0.298,97.761,49.627,0.0,75.215,16.876,22.364
2023-12-22,0.081,0.434,106.001,47.329,0.0,75.215,17.591,22.364
2023-12-23,0.081,0.344,97.761,47.329,0.0,72.147,17.591,21.514
